Email,FirstName,LastName,PasswordHash,UserRoleID
chuckie@mintdex.com,Chuckies,Pride,fvfdv511vsdv168sv515,2
lance@trudo.com,Lance,Meadow,hrthrthgbdfsb61262,2
mjabu@wowwer.com,Mfana,Jabu,dhbshgn631b621b6gn1b,2
vchaka@newbary.com,Vusi,Chaka,fgngfvbsfgn5152151d51,2
zuess@mintdex.com,Zuess,Hercules,aef3a21e5g16123ag1,2
fkruger@trudo.com,Freddie,Kruger,sfjtyitj65h1j65151,2
juneb@zoneone.com,Bianca,June,ty3r216ethgre6y5j1312,2
mikez@babruce.com,Mike,Zono,yuk326j52yuk62h62,2
ymanny@hiber.com,Yadee,Manny,xcv621xz6v12x612xc3v1,1
ssolomon@mintra.com,Sunny,Solomon,vdf32b1d65165b11h51sd,2
